sample_id,transcript_id,log2cpm,gene_name,transcript_type,condition,donor_inferred,contrast
XZ6_CADASIL_R153C_isoCtrl,ENST00000446046.5,10.2199882784581,FN1,protein_coding,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000443816.5,10.0794758863648,FN1,protein_coding,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000432072.6,8.47659590845708,FN1,protein_coding,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000354785.11,11.8056441946766,FN1,protein_coding,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000498719.1,2.79234200345911,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000456923.5,10.7108687709274,FN1,protein_coding,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000494446.1,3.19347192937485,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000469569.1,3.21792497309939,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000473614.1,2.88687548824348,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000480024.1,4.13945091507631,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000461974.1,8.27271509277641,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000485567.1,3.48700842360599,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
XZ6_CADASIL_R153C_isoCtrl,ENST00000460217.1,4.18481449637731,FN1,retained_intron,WT,C224Y,vsmc_pooled_CAD_vs_nonCAD
